a (a) (Article)
fudge (fudge,fudges,fudge's,fudges') (Noun)
full (full) (Adverb)
full (full,fuller,fullest) (Adjective)
fully (fully) (Adverb)
fumble (fumble,fumbles,fumbled,fumbling) (Verb)
fumble (fumble,fumbles,fumble's,fumbles') (Noun)
fun (fun,funs,funned,funning) (Verb)
fun (fun) (Adjective)
fun (fun,funs,fun's,funs') (Noun)
funeral (funeral) (Adjective)
funeral (funeral,funerals,funeral's,funerals') (Noun)
funny (funny,funnier,funniest) (Adjective)
fur (fur,furs,furred,furring) (Verb)
fur (fur,furs,fur's,furs') (Noun)
furious (furious) (Adjective)
furniture (furniture,furniture's) (Noun)
further (further,furthers,furthered,furthering) (Verb)
further (further) (Adjective)
fury (fury,furies,fury's,furies') (Noun)
future (future) (Adjective)
future (future,futures,future's,futures') (Noun)
gain (gain,gains,gained,gaining) (Verb)
gain (gain,gains,gain's,gains') (Noun)
galaxy (galaxy,galaxies,galaxy's,galaxies') (Noun)
gallop (gallop,gallops,galloped,galloping) (Verb)
gallop (gallop,gallops,gallop's,gallops') (Noun)
game (game,games,gamed,gaming) (Verb)
game (game,gamer,gamest) (Adjective)
game (game,games,game's,games') (Noun)
gang (gang,gangs,ganged,ganging) (Verb)
gang (gang,gangs,gang's,gangs') (Noun)
gap (gap,gaps,gapped,gapping) (Verb)
gap (gap,gaps,gap's,gaps') (Noun)
garden (garden,gardens,gardened,gardening) (Verb)
garden (garden) (Adjective)
garden (garden,gardens,garden's,gardens') (Noun)
gas (gas,gasses,gases,gassed,gassing) (Verb)
gas (gas,gasses,gases,gas',gasses',gases') (Noun)
gasp (gasp,gasps,gasped,gasping) (Verb)
gasp (gasp,gasps,gasp's,gasps') (Noun)
gate (gate,gates,gated,gating) (Verb)
gate (gate,gates,gate's,gates') (Noun)
gather (gather,gathers,gathered,gathering) (Verb)
gaunt (gaunt) (Adjective)
gay (gay,gayer,gayest) (Adverb)
gay (gay,gayer,gayest) (Adjective)
gay (gay,gays,gay's,gays') (Noun)
gay (gay,gay's) (Noun)
gaze (gaze,gazes,gazed,gazing) (Verb)
gaze (gaze,gazes,gaze's,gazes') (Noun)
gear (gear,gears,geared,gearing) (Verb)
gear (gear,gears,gear's,gears') (Noun)
general (general) (Adjective)
general (general,generals,general's,generals') (Noun)
generation (generation,generations,generation's,generations') (Noun)
generous (generous) (Adjective)
genius (genius,genii,geniuses,genius',genii's,geniuses') (Noun)
gentle (gentle,gentles,gentled,gentling) (Verb)
gentle (gentle,gentler,gentlest) (Adjective)
gentleman (gentleman,gentlemen,gentleman's,gentlemen's) (Noun)
genuine (genuine) (Adjective)
George (George,George's) (Noun)
German (German) (Adjective)
German (German,Germans,German's,Germans') (Noun)
gesture (gesture,gestures,gestured,gesturing) (Verb)
gesture (gesture,gestures,gesture's,gestures') (Noun)
get (get,gets,got,gotten,getting) (Verb)
get (get,gets,get's,gets') (Noun)
ghastly (ghastly,ghastlier,ghastliest) (Adjective)
ghost (ghost,ghosts,ghosted,ghosting) (Verb)
ghost (ghost,ghosts,ghost's,ghosts') (Noun)
ghoul (ghoul,ghouls,ghoul's,ghouls') (Noun)
giant (giant) (Adjective)
giant (giant,giants,giant's,giants') (Noun)
gift (gift,gifts,gifted,gifting) (Verb)
gift (gift,gifts,gift's,gifts') (Noun)
gigantic (gigantic) (Adjective)
girl (girl,girls,girl's,girls') (Noun)
give (give,gives,gave,given,giving) (Verb)
glad (glad,gladder,gladdest) (Adjective)
glance (glance,glances,glanced,glancing) (Verb)
glance (glance,glances,glance's,glances') (Noun)
glare (glare,glares,glared,glaring) (Verb)
glare (glare,glares,glare's,glares') (Noun)
glass (glass,glasses,glassed,glassing) (Verb)
glass (glass,glasses,glass's,glasses') (Noun)
gleam (gleam,gleams,gleamed,gleaming) (Verb)
gleam (gleam,gleams,gleam's,gleams') (Noun)
glide (glide,glides,glided,gliding) (Verb)
glide (glide,glides,glide's,glides') (Noun)
glimmer (glimmer,glimmers,glimmered,glimmering) (Verb)
glimmer (glimmer,glimmers,glimmer's,glimmers') (Noun)
glimpse (glimpse,glimpses,glimpsed,glimpsing) (Verb)
glimpse (glimpse,glimpses,glimpse's,glimpses') (Noun)
glint (glint,glints,glinted,glinting) (Verb)
glint (glint,glints,glint's,glints') (Noun)
glisten (glisten,glistens,glistened,glistening) (Verb)
glitter (glitter,glitters,glittered,glittering) (Verb)
glitter (glitter,glitters,glitter's,glitters') (Noun)
gloom (gloom,glooms,gloomed,glooming) (Verb)
gloom (gloom,glooms,gloom's,glooms') (Noun)
gloomy (gloomy,gloomier,gloomiest) (Adjective)
glory (glory,glories,gloried,glorying) (Verb)
glory (glory,glories,glory's,glories') (Noun)
glove (glove,gloves,gloved,gloving) (Verb)
glove (glove,gloves,glove's,gloves') (Noun)
glow (glow,glows,glowed,glowing) (Verb)
glow (glow,glows,glow's,glows') (Noun)
go (go,goes,went,gone,going) (Verb)
go (go) (Adjective)
goblet (goblet,goblets,goblet's,goblets') (Noun)
goblin (goblin,goblins,goblin's,goblins') (Noun)
god (god,gods,god's,gods') (Noun)
gold (gold,golds,gold's,golds') (Noun)
golden (golden) (Adjective)
good (good,goods,good's,goods') (Noun)
goodness (goodness,goodness's) (Noun)
goose (goose,gooses,goosed,goosing) (Verb)
goose (goose,geese,goose's,geese's) (Noun)
government (government,governments,government's,governments') (Noun)
gown (gown,gowns,gowned,gowning) (Verb)
gown (gown,gowns,gown's,gowns') (Noun)
grab (grab,grabs,grabbed,grabbing) (Verb)
grab (grab) (Adjective)
grab (grab,grabs,grab's,grabs') (Noun)
grace (grace,graces,graced,gracing) (Verb)
grace (grace,graces,grace's,graces') (Noun)
grace (grace,grace's) (Noun)
graceful (graceful) (Adjective)
gracious (gracious) (Adjective)
gradual (gradual) (Adjective)
grand (grand,grander,grandest) (Adjective)
grand (grand,grand's) (Noun)
grandfather (grandfather,grandfathers,grandfather's,grandfathers') (Noun)
granny (granny,grannies,granny's,grannies') (Noun)
grant (grant,grants,granted,granting) (Verb)
grant (grant,grants,grant's,grants') (Noun)
grant (grant,grant's) (Noun)
grasp (grasp,grasps,grasped,grasping) (Verb)
grasp (grasp,grasps,grasp's,grasps') (Noun)
grass (grass,grasses,grassed,grassing) (Verb)
grass (grass,grasses,grass's,grasses') (Noun)
grateful (grateful) (Adjective)
gratitude (gratitude,gratitude's) (Noun)
grave (grave) (Adverb)
grave (grave,graver,gravest) (Adjective)
grave (grave,graves,grave's,graves') (Noun)
grave (grave,graves,graved,graven,graving) (Verb)
gray (gray,grays,grayed,graying) (Verb)
gray (gray,grayer,grayest) (Adjective)
gray (gray,grays,gray's,grays') (Noun)
great (great,greater,greatest) (Adverb)
great (great,greater,greatest) (Adjective)
great (great,greats,great's,greats') (Noun)
green (green,greens,greened,greening) (Verb)
green (green,greener,greenest) (Adjective)
green (green,greens,green's,greens') (Noun)
greet (greet,greets,greeted,greeting) (Verb)
grief (grief,griefs,grief's,griefs') (Noun)
grim (grim,grimmer,grimmest) (Adjective)
grin (grin,grins,grinned,grinning) (Verb)
grin (grin,grins,grin's,grins') (Noun)
grip (grip,grips,gripped,gripping) (Verb)
grip (grip,grips,grip's,grips') (Noun)
groan (groan,groans,groaned,groaning) (Verb)
groan (groan,groans,groan's,groans') (Noun)
grope (grope,gropes,groped,groping) (Verb)
grope (grope,gropes,grope's,gropes') (Noun)
grotesque (grotesque) (Adjective)
grotesque (grotesque,grotesques,grotesque's,grotesques') (Noun)
ground (ground,grounds,grounded,grounding) (Verb)
grind (grind,grinds,ground,grinding) (Verb)
ground (ground) (Adjective)
ground (ground,grounds,ground's,grounds') (Noun)
group (group,groups,grouped,grouping) (Verb)
group (group,groups,group's,groups') (Noun)
grove (grove,groves,grove's,groves') (Noun)
grow (grow,grows,grew,grown,growing) (Verb)
growl (growl,growls,growled,growling) (Verb)
growl (growl,growls,growl's,growls') (Noun)
grumble (grumble,grumbles,grumbled,grumbling) (Verb)
grumble (grumble,grumbles,grumble's,grumbles') (Noun)
grunt (grunt,grunts,grunted,grunting) (Verb)
grunt (grunt,grunts,grunt's,grunts') (Noun)
guard (guard,guards,guarded,guarding) (Verb)
guard (guard,guards,guard's,guards') (Noun)
guess (guess,guesses,guessed,guessing) (Verb)
guess (guess,guesses,guess's,guesses') (Noun)
guest (guest,guests,guested,guesting) (Verb)
guest (guest,guests,guest's,guests') (Noun)
guide (guide,guides,guided,guiding) (Verb)
guide (guide,guides,guide's,guides') (Noun)
guilty (guilty,guiltier,guiltiest) (Adjective)
gulf (gulf,gulfs,gulf's,gulfs') (Noun)
gun (gun,guns,gunned,gunning) (Verb)
gun (gun,guns,gun's,guns') (Noun)
guy (guy,guys,guyed,guying) (Verb)
guy (guy,guys,guy's,guys') (Noun)
guy (guy,guy's) (Noun)
habit (habit,habits,habited,habiting) (Verb)
habit (habit,habits,habit's,habits') (Noun)
hail (hail,hails,hailed,hailing) (Verb)
hail (hail) (Interjection)
hail (hail,hails,hail's,hails') (Noun)
hair (hair,hairs,hair's,hairs') (Noun)
half (half) (Adverb)
half (half) (Adjective)
half (half,halves,half's,halves') (Noun)
halfway (halfway) (Adverb)
halfway (halfway) (Adjective)
hall (hall,halls,hall's,halls') (Noun)
halt (halt,halts,halted,halting) (Verb)
halt (halt,halts,halt's,halts') (Noun)
ham (ham,hams,hammed,hamming) (Verb)
ham (ham) (Adjective)
ham (ham,hams,ham's,hams') (Noun)
hammer (hammer,hammers,hammered,hammering) (Verb)
hammer (hammer,hammers,hammer's,hammers') (Noun)
hand (hand,hands,handed,handing) (Verb)
hand (hand,hands,hand's,hands') (Noun)
handful (handful,handsful,handfuls,handful's,handfuls') (Noun)
handkerchief (handkerchief,handkerchiefs,handkerchief's,handkerchiefs') (Noun)
handle (handle,handles,handled,handling) (Verb)
handle (handle,handles,handle's,handles') (Noun)
handsome (handsome,handsomer,handsomest) (Adjective)
hang (hang,hangs,hanged,hanging) (Verb)
hang (hang,hangs,hung,hanging) (Verb)
hang (hang,hangs,hang's,hangs') (Noun)
happen (happen,happens,happened,happening) (Verb)
happiness (happiness,happiness's) (Noun)
happy (happy,happier,happiest) (Adjective)
hard (hard,harder,hardest) (Adverb)
hard (hard,harder,hardest) (Adjective)
hark (hark,harks,harked,harking) (Verb)
harm (harm,harms,harmed,harming) (Verb)
harm (harm,harms,harm's,harms') (Noun)
harmony (harmony,harmonies,harmony's,harmonies') (Noun)
harsh (harsh,harsher,harshest) (Adjective)
haste (haste,hastes,haste's,hastes') (Noun)
hasten (hasten,hastens,hastened,hastening) (Verb)
hasty (hasty,hastier,hastiest) (Adjective)
hat (hat,hats,hatted,hatting) (Verb)
hat (hat,hats,hat's,hats') (Noun)
hate (hate,hates,hated,hating) (Verb)
hate (hate,hates,hate's,hates') (Noun)
haul (haul,hauls,hauled,hauling) (Verb)
haul (haul,hauls,haul's,hauls') (Noun)
haunt (haunt,haunts,haunted,haunting) (Verb)
haunt (haunt,haunts,haunt's,haunts') (Noun)
have (have,has,had,having) (Verb)
he (he,him,his,himself) (PronounPerson2)
head (head,heads,headed,heading) (Verb)
head (head) (Adjective)
head (head,heads,head's,heads') (Noun)
heal (heal,heals,healed,healing) (Verb)
health (health,health's) (Noun)
healthy (healthy,healthier,healthiest) (Adjective)
heap (heap,heaps,heaped,heaping) (Verb)
heap (heap,heaps,heap's,heaps') (Noun)
hear (hear,hears,heard,hearing) (Verb)
heart (heart,hearts,heart's,hearts') (Noun)
hearty (hearty,heartier,heartiest) (Adjective)
heat (heat,heats,heated,heating) (Verb)
heat (heat,heats,heat's,heats') (Noun)
heave (heave,heaves,heaved,hove,hoven,heaving) (Verb)
heaven (heaven,heavens,heaven's,heavens') (Noun)
heavy (heavy,heavier,heaviest) (Adjective)
heavy (heavy,heavies,heavy's,heavies') (Noun)
hedge (hedge,hedges,hedged,hedging) (Verb)
hedge (hedge) (Adjective)
hedge (hedge,hedges,hedge's,hedges') (Noun)
heel (heel,heels,heeled,heeling) (Verb)
heel (heel,heels,heel's,heels') (Noun)
height (height,heights,height's,heights') (Noun)
heir (heir,heirs,heir's,heirs') (Noun)
hell (hell,hells,helled,helling) (Verb)
hell (hell,hells,hell's,hells') (Noun)
hello (hello,helloes,hellos,hello's,hellos') (Noun)
helm (helm,helms,helm's,helms') (Noun)
helmet (helmet,helmets,helmet's,helmets') (Noun)
help (help,helps,helped,helping) (Verb)
help (help,help's) (Noun)
helpless (helpless) (Adjective)
she (she,her,hers,herself) (PronounPerson2)
here (here) (Adverb)
here (here) (Adjective)
hero (hero,heroes,hero's,heroes') (Noun)
hesitate (hesitate,hesitates,hesitated,hesitating) (Verb)
hey (hey) (Interjection)
hey (hey,heys,hey's,heys') (Noun)
hide (hide,hides,hid,hidden,hiding) (Verb)
hide (hide,hides,hided,hiding) (Verb)
hide (hide,hides,hide's,hides') (Noun)
hideous (hideous) (Adjective)
high (high,higher,highest) (Adverb)
high (high,higher,highest) (Adjective)
high (high,highs,high's,highs') (Noun)
hill (hill,hills,hilled,hilling) (Verb)
hill (hill,hills,hill's,hills') (Noun)
hint (hint,hints,hinted,hinting) (Verb)
hint (hint,hints,hint's,hints') (Noun)
hire (hire,hires,hired,hiring) (Verb)
hire (hire,hires,hire's,hires') (Noun)
hiss (hiss,hisses,hissed,hissing) (Verb)
hiss (hiss,hisses,hiss's,hisses') (Noun)
history (history,histories,history's,histories') (Noun)
hit (hit,hits,hitting) (Verb)
hit (hit) (Adjective)
hit (hit,hits,hit's,hits') (Noun)
hoarse (hoarse,hoarser,hoarsest) (Adjective)
hold (hold,holds,held,holding) (Verb)
hold (hold,holds,hold's,holds') (Noun)
hole (hole,holes,holed,holing) (Verb)
hole (hole,holes,hole's,holes') (Noun)
holiday (holiday,holidays,holidayed,holidaying) (Verb)
holiday (holiday,holidays,holiday's,holidays') (Noun)
hollow (hollow,hollows,hollowed,hollowing) (Verb)
hollow (hollow) (Adverb)
hollow (hollow,hollower,hollowest) (Adjective)
hollow (hollow,hollows,hollow's,hollows') (Noun)
home (home,homes,homed,homing) (Verb)
home (home) (Adverb)
home (home) (Adjective)
home (home,homes,home's,homes') (Noun)
honest (honest) (Adverb)
honest (honest) (Adjective)
honestly (honestly) (Adverb)
honour (honour,honours,honoured,honouring) (Verb)
honour (honour,honours,honour's,honours') (Noun)
hood (hood,hoods,hooded,hooding) (Verb)
hood (hood,hoods,hood's,hoods') (Noun)
hook (hook,hooks,hooked,hooking) (Verb)
hook (hook,hooks,hook's,hooks') (Noun)
hop (hop,hops,hopped,hopping) (Verb)
hop (hop,hops,hop's,hops') (Noun)
hope (hope,hopes,hoped,hoping) (Verb)
hope (hope,hopes,hope's,hopes') (Noun)
hope (hope,hope's) (Noun)
hopeful (hopeful) (Adjective)
hopeful (hopeful,hopefuls,hopeful's,hopefuls') (Noun)
hopeless (hopeless) (Adjective)
horizon (horizon,horizons,horizon's,horizons') (Noun)
horn (horn,horns,horned,horning) (Verb)
horn (horn,horns,horn's,horns') (Noun)
horrible (horrible) (Adjective)
horror (horror,horrors,horror's,horrors') (Noun)
horse (horse,horses,horsed,horsing) (Verb)
horse (horse) (Adjective)
horse (horse,horses,horse's,horses') (Noun)
hospital (hospital,hospitals,hospital's,hospitals') (Noun)
host (host,hosts,hosted,hosting) (Verb)
host (host,hosts,host's,hosts') (Noun)
hot (hot,hotter,hottest) (Adverb)
hot (hot,hotter,hottest) (Adjective)
hotel (hotel,hotels,hotel's,hotels') (Noun)
hour (hour,hours,hour's,hours') (Noun)
house (house,houses,housed,housing) (Verb)
house (house,houses,house's,houses') (Noun)
hover (hover,hovers,hovered,hovering) (Verb)
how (how) (Conjunction)
how (how) (Adverb)
how (how,hows,how's,hows') (Noun)
however (however) (Conjunction)
however (however) (Adverb)
howl (howl,howls,howled,howling) (Verb)
howl (howl,howls,howl's,howls') (Noun)
huddle (huddle,huddles,huddled,huddling) (Verb)
huddle (huddle,huddles,huddle's,huddles') (Noun)
hug (hug,hugs,hugged,hugging) (Verb)
hug (hug,hugs,hug's,hugs') (Noun)
huge (huge,huger,hugest) (Adjective)
hum (hum,hums,hummed,humming) (Verb)
hum (hum,hums,hum's,hums') (Noun)
human (human) (Adjective)
human (human,humans,human's,humans') (Noun)
humble (humble,humbles,humbled,humbling) (Verb)
humble (humble,humbler,humblest) (Adjective)
hundred (hundred) (Adjective)
hundred (hundred,hundreds,hundred's,hundreds') (Noun)
hungry (hungry,hungrier,hungriest) (Adjective)
hunt (hunt,hunts,hunted,hunting) (Verb)
hunt (hunt,hunts,hunt's,hunts') (Noun)
hunter (hunter,hunters,hunter's,hunters') (Noun)
hurl (hurl,hurls,hurled,hurling) (Verb)
hurry (hurry,hurries,hurried,hurrying) (Verb)
hurry (hurry,hurries,hurry's,hurries') (Noun)
hurt (hurt,hurts,hurting) (Verb)
hurt (hurt) (Adjective)
hurt (hurt,hurts,hurt's,hurts') (Noun)
husband (husband,husbands,husbanded,husbanding) (Verb)
husband (husband,husbands,husband's,husbands') (Noun)
hush (hush,hushes,hushed,hushing) (Verb)
hush (hush) (Adjective)
hush (hush,hushes,hush's,hushes') (Noun)
hut (hut,huts,hut's,huts') (Noun)
I (I,me,my,mine,myself) (PronounPerson1)
ice (ice,ices,iced,icing) (Verb)
ice (ice,ices,ice's,ices') (Noun)
